model_kind,fold,layer,phase,accuracy,balanced_accuracy,auroc,n_test
phase_activation,0,0,pre_selector,0.5,0.5,0.5,12
phase_activation,1,0,pre_selector,0.5,0.5,0.5,12
phase_activation,2,0,pre_selector,0.5,0.5,0.5,16
phase_activation,3,0,pre_selector,0.5,0.5,0.5,12
phase_activation,4,0,pre_selector,0.5,0.5,0.5,12
phase_activation,0,1,pre_selector,0.5,0.5,0.5,12
phase_activation,1,1,pre_selector,0.5,0.5,0.5,12
phase_activation,2,1,pre_selector,0.5,0.5,0.5,16
phase_activation,3,1,pre_selector,0.5,0.5,0.5,12
phase_activation,4,1,pre_selector,0.5,0.5,0.5,12
phase_activation,0,2,pre_selector,0.5,0.5,0.5,12
phase_activation,1,2,pre_selector,0.5,0.5,0.5,12
phase_activation,2,2,pre_selector,0.5,0.5,0.5,16
phase_activation,3,2,pre_selector,0.5,0.5,0.5,12
phase_activation,4,2,pre_selector,0.5,0.5,0.5,12
phase_activation,0,3,pre_selector,0.5,0.5,0.5,12
phase_activation,1,3,pre_selector,0.5,0.5,0.5,12
phase_activation,2,3,pre_selector,0.5,0.5,0.5,16
phase_activation,3,3,pre_selector,0.5,0.5,0.5,12
phase_activation,4,3,pre_selector,0.5,0.5,0.5,12
phase_activation,0,4,pre_selector,0.5,0.5,0.5,12
phase_activation,1,4,pre_selector,0.5,0.5,0.5,12
phase_activation,2,4,pre_selector,0.5,0.5,0.5,16
phase_activation,3,4,pre_selector,0.5,0.5,0.5,12
phase_activation,4,4,pre_selector,0.5,0.5,0.5,12
phase_activation,0,5,pre_selector,0.5,0.5,0.5,12
phase_activation,1,5,pre_selector,0.5,0.5,0.5,12
phase_activation,2,5,pre_selector,0.5,0.5,0.5,16
phase_activation,3,5,pre_selector,0.5,0.5,0.5,12
phase_activation,4,5,pre_selector,0.5,0.5,0.5,12
phase_activation,0,6,pre_selector,0.5,0.5,0.5,12
phase_activation,1,6,pre_selector,0.5,0.5,0.5,12
phase_activation,2,6,pre_selector,0.5,0.5,0.5,16
phase_activation,3,6,pre_selector,0.5,0.5,0.5,12
phase_activation,4,6,pre_selector,0.5,0.5,0.5,12
phase_activation,0,7,pre_selector,0.5,0.5,0.5,12
phase_activation,1,7,pre_selector,0.5,0.5,0.5,12
phase_activation,2,7,pre_selector,0.5,0.5,0.5,16
phase_activation,3,7,pre_selector,0.5,0.5,0.5,12
phase_activation,4,7,pre_selector,0.5,0.5,0.5,12
phase_activation,0,8,pre_selector,0.5,0.5,0.5,12
phase_activation,1,8,pre_selector,0.5,0.5,0.5,12
phase_activation,2,8,pre_selector,0.5,0.5,0.5,16
