phase,layer,n_pairs,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p
pre_selector,0,0,0.0,0.0,0.0,0.0,1.0
pre_selector,1,0,0.0,0.0,0.0,0.0,1.0
pre_selector,2,0,0.0,0.0,0.0,0.0,1.0
pre_selector,3,0,0.0,0.0,0.0,0.0,1.0
pre_selector,4,0,0.0,0.0,0.0,0.0,1.0
pre_selector,5,0,0.0,0.0,0.0,0.0,1.0
pre_selector,6,0,0.0,0.0,0.0,0.0,1.0
pre_selector,7,0,0.0,0.0,0.0,0.0,1.0
pre_selector,8,0,0.0,0.0,0.0,0.0,1.0
pre_selector,9,0,0.0,0.0,0.0,0.0,1.0
pre_selector,10,0,0.0,0.0,0.0,0.0,1.0
pre_selector,11,0,0.0,0.0,0.0,0.0,1.0
pre_selector,12,0,0.0,0.0,0.0,0.0,1.0
pre_selector,13,0,0.0,0.0,0.0,0.0,1.0
pre_selector,14,0,0.0,0.0,0.0,0.0,1.0
pre_selector,15,0,0.0,0.0,0.0,0.0,1.0
pre_selector,16,0,0.0,0.0,0.0,0.0,1.0
pre_selector,17,0,0.0,0.0,0.0,0.0,1.0
pre_selector,18,0,0.0,0.0,0.0,0.0,1.0
pre_selector,19,0,0.0,0.0,0.0,0.0,1.0
pre_selector,20,0,0.0,0.0,0.0,0.0,1.0
pre_selector,21,0,0.0,0.0,0.0,0.0,1.0
pre_selector,22,0,0.0,0.0,0.0,0.0,1.0
pre_selector,23,0,0.0,0.0,0.0,0.0,1.0
pre_selector,24,0,0.0,0.0,0.0,0.0,1.0
pre_selector,25,0,0.0,0.0,0.0,0.0,1.0
pre_selector,26,0,0.0,0.0,0.0,0.0,1.0
pre_selector,27,0,0.0,0.0,0.0,0.0,1.0
pre_selector,28,0,0.0,0.0,0.0,0.0,1.0
pre_selector,29,0,0.0,0.0,0.0,0.0,1.0
pre_selector,30,0,0.0,0.0,0.0,0.0,1.0
pre_selector,31,0,0.0,0.0,0.0,0.0,1.0
pre_selector,32,0,0.0,0.0,0.0,0.0,1.0
pre_selector,33,0,0.0,0.0,0.0,0.0,1.0
pre_selector,34,0,0.0,0.0,0.0,0.0,1.0
pre_selector,35,0,0.0,0.0,0.0,0.0,1.0
post_selector,0,32,5.092212378512707,0.12560517616508102,0.11289523135861977,0.5625,0.30845771144278605
post_selector,1,32,6.839830576905134,0.1255679518063109,0.11251449068262871,0.5625,0.263681592039801
post_selector,2,32,8.10942300357273,0.12562164569499454,0.11088187446379207,0.5625,0.2835820895522388
post_selector,3,32,10.180983464213238,0.1253453142463043,0.09529891096098957,0.5625,0.2885572139303483
post_selector,4,32,13.671279394580878,0.12599382745959864,0.09285248286618311,0.5625,0.3283582089552239
post_selector,5,32,17.3177610826982,0.1265146111725276,0.09183587647015312,0.5625,0.3283582089552239
post_selector,6,32,20.18178287413146,0.12639627408389773,0.09389464546413526,0.5625,0.3034825870646766
post_selector,7,32,21.683796093628715,0.12633019540744841,0.09118164566004713,0.5625,0.32338308457711445
post_selector,8,32,23.408449354440254,0.12677032436064967,0.082662365062057,0.5625,0.35323383084577115
post_selector,9,32,28.38356654599321,0.12621101163474813,0.07950854377886621,0.5625,0.29850746268656714
post_selector,10,32,28.11989251471919,0.12696358709752098,0.07064875404968447,0.5625,0.35323383084577115
post_selector,11,32,31.200836620958327,0.1320912099198605,0.048343027994333654,0.5625,0.3482587064676617
post_selector,12,32,32.40487366320353,0.23901988415351297,0.12737852156002236,0.5625,0.06467661691542288
post_selector,13,32,36.93897198537029,0.2537644230964535,0.14390213149679842,0.5625,0.029850746268656716
post_selector,14,32,34.573126529411844,0.24811983596563753,0.13595136455909484,0.5625,0.029850746268656716
post_selector,15,32,36.811964147352455,0.24465849167200043,0.12969066270976132,0.5625,0.029850746268656716
post_selector,16,32,40.63729576009825,0.3548134463265157,0.26943002277439687,0.75,0.004975124378109453
post_selector,17,32,43.762978292077555,0.370331664019867,0.28516511076519613,0.8125,0.004975124378109453
post_selector,18,32,49.747970785280636,0.4085201691329055,0.3292324203149305,0.9375,0.004975124378109453
post_selector,19,32,59.68617888234032,0.4635914792745317,0.3945204075246608,1.0,0.004975124378109453
post_selector,20,32,65.23339489877533,0.44747724493581353,0.37558342071137296,0.96875,0.004975124378109453
post_selector,21,32,75.03433916818436,0.444751517593456,0.3726975014075399,0.96875,0.004975124378109453
post_selector,22,32,87.75969059635008,0.394853429675766,0.31499550229837986,0.90625,0.004975124378109453
post_selector,23,32,98.00596139263219,0.38845524291084504,0.3078780114022092,0.875,0.004975124378109453
post_selector,24,32,110.55550338151656,0.36856277131668336,0.2838760349408074,0.8125,0.004975124378109453
post_selector,25,32,122.47633502311842,0.3455316168935953,0.255741607842036,0.6875,0.004975124378109453
post_selector,26,32,137.43970714945652,0.327870489323921,0.2341361681478049,0.625,0.004975124378109453
post_selector,27,32,157.70397244071424,0.3073763439497292,0.20944010571297372,0.59375,0.004975124378109453
post_selector,28,32,180.0670188903589,0.2901558418640865,0.18750822551798207,0.5625,0.004975124378109453
post_selector,29,32,204.61939653495818,0.2793823502055395,0.17352377700840177,0.5625,0.014925373134328358
post_selector,30,32,240.19741201176205,0.26677335795543833,0.15744653155404767,0.5625,0.03482587064676617
post_selector,31,32,277.68221826036336,0.2550959450743864,0.14290211701079583,0.5625,0.04477611940298507
post_selector,32,32,309.42958192614935,0.25114882230734137,0.13676978857964045,0.5625,0.04477611940298507
post_selector,33,32,376.6567866939162,0.23497316951304478,0.11721424323422036,0.5625,0.1044776119402985
post_selector,34,32,455.38258708784576,0.23482740045495237,0.11618340193158906,0.5625,0.06467661691542288
post_selector,35,32,88.0536928858985,0.21723253053084363,0.08920865881618473,0.5625,0.15920398009950248
public_task_span,0,32,0.08077511537209078,0.1312042357759634,0.042329535293960274,0.5625,0.3582089552238806
public_task_span,1,32,0.12030365612641405,0.13921564412140053,0.020413192636702146,0.5625,0.4527363184079602
public_task_span,2,32,0.18857853017356013,0.13321795387320712,0.02335307420288263,0.5625,0.47761194029850745
public_task_span,3,32,0.2468987769823658,0.13426527318179085,0.01689807340835925,0.5625,0.44776119402985076
public_task_span,4,32,0.29544291423808694,0.13853824339823118,0.003537157543289274,0.5625,0.4527363184079602
public_task_span,5,32,0.36774640812665493,0.13884646096726036,-0.004821104476164795,0.5625,0.5223880597014925
