model_kind,fold,layer,phase,accuracy,balanced_accuracy,auroc,n_test
output_tfidf,0,,,0.5,0.5,0.5,12
output_tfidf,1,,,0.5,0.5,0.5,12
output_tfidf,2,,,0.5,0.5,0.5,16
output_tfidf,3,,,0.5,0.5,0.5,12
output_tfidf,4,,,0.5,0.5,0.5,12
prompt_tfidf,0,,,0.6666666666666666,0.6666666666666666,0.6111111111111112,12
prompt_tfidf,1,,,0.5,0.5,0.638888888888889,12
prompt_tfidf,2,,,0.625,0.625,0.59375,16
prompt_tfidf,3,,,0.3333333333333333,0.3333333333333333,0.3611111111111111,12
prompt_tfidf,4,,,0.6666666666666666,0.6666666666666666,0.8611111111111112,12
selector_tfidf,0,,,0.6666666666666666,0.6666666666666666,0.6666666666666667,12
selector_tfidf,1,,,0.5,0.5,0.5,12
selector_tfidf,2,,,0.625,0.625,0.625,16
selector_tfidf,3,,,0.3333333333333333,0.3333333333333333,0.33333333333333337,12
selector_tfidf,4,,,0.6666666666666666,0.6666666666666666,0.6666666666666667,12
objective_pair_tfidf,0,,,0.5,0.5,0.5,12
objective_pair_tfidf,1,,,0.5,0.5,0.5,12
objective_pair_tfidf,2,,,0.5,0.5,0.5,16
objective_pair_tfidf,3,,,0.5,0.5,0.5,12
objective_pair_tfidf,4,,,0.5,0.5,0.5,12
