phase,layer,n_pairs,n_scenarios,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p,null_unit,null_draws
pre_selector,0,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,1,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,2,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,3,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,4,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,5,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,6,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,7,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,8,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,9,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,10,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,11,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,12,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,13,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,14,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,15,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,16,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,17,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,18,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,19,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,20,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,21,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,22,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,23,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,24,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,25,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,26,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,27,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,28,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,29,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,30,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,31,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,32,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,33,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,34,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
pre_selector,35,0,0,0.0,0.0,0.0,0.0,1.0,scenario_id,0
post_selector,0,128,16,5.0932728877145985,0.011761146577640493,0.005713715715220831,0.5703125,0.02301025390625,scenario_id,65536
post_selector,1,128,16,6.813777062648162,0.010174497210785106,0.003542024633565387,0.6015625,0.03216552734375,scenario_id,65536
post_selector,2,128,16,8.083105067108985,0.010215364592434583,0.004433411401954968,0.6171875,0.001129150390625,scenario_id,65536
post_selector,3,128,16,10.15685598021025,0.013643882125419282,0.006544683382783802,0.515625,0.00128173828125,scenario_id,65536
post_selector,4,128,16,13.665531968567052,0.014583353920578043,0.00778345964668259,0.5546875,0.001068115234375,scenario_id,65536
post_selector,5,128,16,17.320084624577277,0.014345023849780142,0.0070825713866534195,0.5859375,0.002655029296875,scenario_id,65536
post_selector,6,128,16,20.137623699262157,0.013863005831635876,0.006258038413087999,0.5859375,0.00286865234375,scenario_id,65536
post_selector,7,128,16,21.617078407073436,0.014121283009708484,0.005398772973276419,0.5703125,0.0046844482421875,scenario_id,65536
post_selector,8,128,16,23.293903264102745,0.01707720528166167,0.006927351159889166,0.578125,0.00555419921875,scenario_id,65536
post_selector,9,128,16,28.193425213384625,0.01833413020175919,0.00680318522663684,0.578125,0.0125579833984375,scenario_id,65536
post_selector,10,128,16,27.817832408591357,0.020883018297696742,0.008090881371262692,0.5703125,0.0037689208984375,scenario_id,65536
post_selector,11,128,16,30.876319061565276,0.039655199022069924,0.029719078763029805,0.7109375,3.0517578125e-05,scenario_id,65536
post_selector,12,128,16,32.17643486090174,0.20907527854365673,0.20220528382006148,0.96875,1.52587890625e-05,scenario_id,65536
post_selector,13,128,16,36.870363420871314,0.2276269733109533,0.2197153707066943,0.96875,1.52587890625e-05,scenario_id,65536
post_selector,14,128,16,34.584766162152874,0.22159087991573936,0.21284261300389407,0.9921875,1.52587890625e-05,scenario_id,65536
post_selector,15,128,16,36.85805736031353,0.22015760696445222,0.20982793913984113,0.9765625,1.52587890625e-05,scenario_id,65536
post_selector,16,128,16,40.75175221401513,0.34608830495855153,0.336680664503643,1.0,1.52587890625e-05,scenario_id,65536
post_selector,17,128,16,43.95454713445099,0.36586634443246646,0.35447000835237696,1.0,1.52587890625e-05,scenario_id,65536
post_selector,18,128,16,49.94345519005657,0.4072308662977716,0.3948446520389234,1.0,1.52587890625e-05,scenario_id,65536
post_selector,19,128,16,59.74105047551697,0.46922561244572447,0.45679516646664126,1.0,1.52587890625e-05,scenario_id,65536
post_selector,20,128,16,65.3365229914813,0.44940825022935094,0.43695252933501433,1.0,1.52587890625e-05,scenario_id,65536
post_selector,21,128,16,74.89712877847226,0.4425087237098038,0.4307663675711456,1.0,1.52587890625e-05,scenario_id,65536
post_selector,22,128,16,86.84555746334186,0.3884774062872271,0.37794145836660165,1.0,1.52587890625e-05,scenario_id,65536
post_selector,23,128,16,96.65858835396817,0.38007245331407474,0.36944455374370444,1.0,1.52587890625e-05,scenario_id,65536
post_selector,24,128,16,108.86937541537061,0.3582142977116805,0.34718849317689027,1.0,1.52587890625e-05,scenario_id,65536
post_selector,25,128,16,119.9700057758987,0.3337267496538205,0.32296839018051465,1.0,1.52587890625e-05,scenario_id,65536
