model_kind,fold,layer,phase,accuracy,balanced_accuracy,auroc,n_test
phase_activation,0,0,pre_selector,0.5,0.5,0.5,64
phase_activation,1,0,pre_selector,0.5,0.5,0.5,48
phase_activation,2,0,pre_selector,0.5,0.5,0.5,48
phase_activation,3,0,pre_selector,0.5,0.5,0.5,48
phase_activation,4,0,pre_selector,0.5,0.5,0.5,48
phase_activation,0,1,pre_selector,0.5,0.5,0.5,64
phase_activation,1,1,pre_selector,0.5,0.5,0.5,48
phase_activation,2,1,pre_selector,0.5,0.5,0.5,48
phase_activation,3,1,pre_selector,0.5,0.5,0.5,48
phase_activation,4,1,pre_selector,0.5,0.5,0.5,48
phase_activation,0,2,pre_selector,0.5,0.5,0.5,64
phase_activation,1,2,pre_selector,0.5,0.5,0.5,48
phase_activation,2,2,pre_selector,0.5,0.5,0.5,48
phase_activation,3,2,pre_selector,0.5,0.5,0.5,48
phase_activation,4,2,pre_selector,0.5,0.5,0.5,48
phase_activation,0,3,pre_selector,0.5,0.5,0.5,64
phase_activation,1,3,pre_selector,0.5,0.5,0.5,48
phase_activation,2,3,pre_selector,0.5,0.5,0.5,48
phase_activation,3,3,pre_selector,0.5,0.5,0.5,48
phase_activation,4,3,pre_selector,0.5,0.5,0.5,48
phase_activation,0,4,pre_selector,0.5,0.5,0.5,64
phase_activation,1,4,pre_selector,0.5,0.5,0.5,48
phase_activation,2,4,pre_selector,0.5,0.5,0.5,48
phase_activation,3,4,pre_selector,0.5,0.5,0.5,48
phase_activation,4,4,pre_selector,0.5,0.5,0.5,48
phase_activation,0,5,pre_selector,0.5,0.5,0.5,64
phase_activation,1,5,pre_selector,0.5,0.5,0.5,48
phase_activation,2,5,pre_selector,0.5,0.5,0.5,48
phase_activation,3,5,pre_selector,0.5,0.5,0.5,48
phase_activation,4,5,pre_selector,0.5,0.5,0.5,48
phase_activation,0,6,pre_selector,0.5,0.5,0.5,64
phase_activation,1,6,pre_selector,0.5,0.5,0.5,48
phase_activation,2,6,pre_selector,0.5,0.5,0.5,48
phase_activation,3,6,pre_selector,0.5,0.5,0.5,48
phase_activation,4,6,pre_selector,0.5,0.5,0.5,48
phase_activation,0,7,pre_selector,0.5,0.5,0.5,64
phase_activation,1,7,pre_selector,0.5,0.5,0.5,48
phase_activation,2,7,pre_selector,0.5,0.5,0.5,48
phase_activation,3,7,pre_selector,0.5,0.5,0.5,48
phase_activation,4,7,pre_selector,0.5,0.5,0.5,48
phase_activation,0,8,pre_selector,0.5,0.5,0.5,64
phase_activation,1,8,pre_selector,0.5,0.5,0.5,48
phase_activation,2,8,pre_selector,0.5,0.5,0.5,48
phase_activation,3,8,pre_selector,0.5,0.5,0.5,48
phase_activation,4,8,pre_selector,0.5,0.5,0.5,48
phase_activation,0,9,pre_selector,0.5,0.5,0.5,64
phase_activation,1,9,pre_selector,0.5,0.5,0.5,48
phase_activation,2,9,pre_selector,0.5,0.5,0.5,48
phase_activation,3,9,pre_selector,0.5,0.5,0.5,48
phase_activation,4,9,pre_selector,0.5,0.5,0.5,48
phase_activation,0,10,pre_selector,0.5,0.5,0.5,64
phase_activation,1,10,pre_selector,0.5,0.5,0.5,48
phase_activation,2,10,pre_selector,0.5,0.5,0.5,48
phase_activation,3,10,pre_selector,0.5,0.5,0.5,48
phase_activation,4,10,pre_selector,0.5,0.5,0.5,48
phase_activation,0,11,pre_selector,0.5,0.5,0.5,64
phase_activation,1,11,pre_selector,0.5,0.5,0.5,48
phase_activation,2,11,pre_selector,0.5,0.5,0.5,48
phase_activation,3,11,pre_selector,0.5,0.5,0.5,48
phase_activation,4,11,pre_selector,0.5,0.5,0.5,48
phase_activation,0,12,pre_selector,0.5,0.5,0.5,64
phase_activation,1,12,pre_selector,0.5,0.5,0.5,48
phase_activation,2,12,pre_selector,0.5,0.5,0.5,48
phase_activation,3,12,pre_selector,0.5,0.5,0.5,48
phase_activation,4,12,pre_selector,0.5,0.5,0.5,48
phase_activation,0,13,pre_selector,0.5,0.5,0.5,64
phase_activation,1,13,pre_selector,0.5,0.5,0.5,48
phase_activation,2,13,pre_selector,0.5,0.5,0.5,48
phase_activation,3,13,pre_selector,0.5,0.5,0.5,48
phase_activation,4,13,pre_selector,0.5,0.5,0.5,48
phase_activation,0,14,pre_selector,0.5,0.5,0.5,64
phase_activation,1,14,pre_selector,0.5,0.5,0.5,48
phase_activation,2,14,pre_selector,0.5,0.5,0.5,48
phase_activation,3,14,pre_selector,0.5,0.5,0.5,48
phase_activation,4,14,pre_selector,0.5,0.5,0.5,48
phase_activation,0,15,pre_selector,0.5,0.5,0.5,64
phase_activation,1,15,pre_selector,0.5,0.5,0.5,48
phase_activation,2,15,pre_selector,0.5,0.5,0.5,48
phase_activation,3,15,pre_selector,0.5,0.5,0.5,48
phase_activation,4,15,pre_selector,0.5,0.5,0.5,48
phase_activation,0,16,pre_selector,0.5,0.5,0.5,64
phase_activation,1,16,pre_selector,0.5,0.5,0.5,48
phase_activation,2,16,pre_selector,0.5,0.5,0.5,48
phase_activation,3,16,pre_selector,0.5,0.5,0.5,48
phase_activation,4,16,pre_selector,0.5,0.5,0.5,48
phase_activation,0,17,pre_selector,0.5,0.5,0.5,64
phase_activation,1,17,pre_selector,0.5,0.5,0.5,48
phase_activation,2,17,pre_selector,0.5,0.5,0.5,48
phase_activation,3,17,pre_selector,0.5,0.5,0.5,48
phase_activation,4,17,pre_selector,0.5,0.5,0.5,48
phase_activation,0,18,pre_selector,0.5,0.5,0.5,64
phase_activation,1,18,pre_selector,0.5,0.5,0.5,48
phase_activation,2,18,pre_selector,0.5,0.5,0.5,48
phase_activation,3,18,pre_selector,0.5,0.5,0.5,48
phase_activation,4,18,pre_selector,0.5,0.5,0.5,48
phase_activation,0,19,pre_selector,0.5,0.5,0.5,64
phase_activation,1,19,pre_selector,0.5,0.5,0.5,48
phase_activation,2,19,pre_selector,0.5,0.5,0.5,48
phase_activation,3,19,pre_selector,0.5,0.5,0.5,48
phase_activation,4,19,pre_selector,0.5,0.5,0.5,48
phase_activation,0,20,pre_selector,0.5,0.5,0.5,64
phase_activation,1,20,pre_selector,0.5,0.5,0.5,48
phase_activation,2,20,pre_selector,0.5,0.5,0.5,48
phase_activation,3,20,pre_selector,0.5,0.5,0.5,48
phase_activation,4,20,pre_selector,0.5,0.5,0.5,48
phase_activation,0,21,pre_selector,0.5,0.5,0.5,64
phase_activation,1,21,pre_selector,0.5,0.5,0.5,48
phase_activation,2,21,pre_selector,0.5,0.5,0.5,48
phase_activation,3,21,pre_selector,0.5,0.5,0.5,48
phase_activation,4,21,pre_selector,0.5,0.5,0.5,48
phase_activation,0,22,pre_selector,0.5,0.5,0.5,64
phase_activation,1,22,pre_selector,0.5,0.5,0.5,48
phase_activation,2,22,pre_selector,0.5,0.5,0.5,48
phase_activation,3,22,pre_selector,0.5,0.5,0.5,48
phase_activation,4,22,pre_selector,0.5,0.5,0.5,48
