train_phase,test_phase,auroc_mean,auroc_std,bal_acc_mean
final_prompt,final_prompt,0.9998372395833334,0.0006325383323882886,0.9876736111111112
final_prompt,post_selector,0.9958043981481481,0.009694748205882418,0.6357638888888889
final_prompt,pre_selector,0.5,1.0308162000485891e-17,0.5
final_prompt,public_task_span,0.7590422453703703,0.07685009848806795,0.5159722222222222
final_prompt,response_first,0.9870153356481483,0.017611867268261566,0.5039930555555555
final_prompt,response_mean,0.9945638020833333,0.008987477567692487,0.5074652777777778
post_selector,final_prompt,0.8137152777777777,0.14429554199798136,0.5069444444444444
post_selector,post_selector,1.0,0.0,1.0
post_selector,pre_selector,0.5,0.0,0.5
post_selector,public_task_span,0.777416087962963,0.08238096620271634,0.5125
post_selector,response_first,0.7401041666666667,0.11899557930906672,0.5125
post_selector,response_mean,0.9410951967592592,0.04785273531201122,0.5840277777777777
pre_selector,final_prompt,0.5,0.0,0.5
pre_selector,post_selector,0.5,0.0,0.5
pre_selector,pre_selector,0.5,0.0,0.5
pre_selector,public_task_span,0.5,0.0,0.5
pre_selector,response_first,0.5,0.0,0.5
pre_selector,response_mean,0.5,0.0,0.5
public_task_span,final_prompt,0.9661892361111111,0.024614309218778357,0.5
public_task_span,post_selector,0.9822916666666667,0.0396830183646526,0.7095486111111111
public_task_span,pre_selector,0.5,0.0,0.5
public_task_span,public_task_span,0.999265769675926,0.0020025304239010447,0.9623263888888889
public_task_span,response_first,0.9322880497685185,0.050165453681288386,0.5
public_task_span,response_mean,0.9798900462962963,0.021944695650475955,0.5
response_first,final_prompt,0.9402705439814816,0.13167359443683851,0.6661458333333333
response_first,post_selector,0.937254050925926,0.06312768555337812,0.6071180555555556
response_first,pre_selector,0.5,0.0,0.5
response_first,public_task_span,0.7605975115740741,0.07236933883004458,0.509375
response_first,response_first,0.9998191550925927,0.0007165501163997825,0.9822916666666667
response_first,response_mean,0.999291087962963,0.0028635646004097543,0.8482638888888889
response_mean,final_prompt,0.983130787037037,0.04906434596734789,0.5894097222222222
response_mean,post_selector,0.9991536458333333,0.0024933648921539858,0.775173611111111
response_mean,pre_selector,0.5,1.0308162000485891e-17,0.5
response_mean,public_task_span,0.7643229166666666,0.1397320632245043,0.5329861111111112
response_mean,response_first,0.9937825520833333,0.00556639859171069,0.6414930555555556
response_mean,response_mean,0.9998046875,0.0010697706201272742,0.9876736111111112
