phase,layer,auroc_mean,auroc_std,bal_acc_mean
final_prompt,21,1.0,0.0,0.9916666666666668
final_prompt,22,1.0,0.0,0.9791666666666667
final_prompt,23,1.0,0.0,0.9833333333333334
post_selector,31,1.0,0.0,0.996875
post_selector,32,1.0,0.0,0.996875
post_selector,33,1.0,0.0,0.996875
post_selector,34,1.0,0.0,0.996875
post_selector,35,1.0,0.0,0.996875
post_selector,20,1.0,0.0,1.0
post_selector,21,1.0,0.0,1.0
post_selector,18,1.0,0.0,1.0
post_selector,19,1.0,0.0,1.0
post_selector,16,1.0,0.0,1.0
post_selector,17,1.0,0.0,1.0
final_prompt,33,1.0,0.0,0.984375
final_prompt,32,1.0,0.0,0.9875
final_prompt,31,1.0,0.0,0.9875
final_prompt,30,1.0,0.0,0.9833333333333334
final_prompt,29,1.0,0.0,0.9708333333333334
final_prompt,28,1.0,0.0,0.975
final_prompt,27,1.0,0.0,0.9791666666666667
final_prompt,26,1.0,0.0,0.9833333333333334
final_prompt,25,1.0,0.0,0.9708333333333334
final_prompt,24,1.0,0.0,0.975
post_selector,27,1.0,0.0,1.0
post_selector,26,1.0,0.0,1.0
post_selector,25,1.0,0.0,1.0
post_selector,24,1.0,0.0,1.0
post_selector,23,1.0,0.0,1.0
post_selector,30,1.0,0.0,0.996875
post_selector,29,1.0,0.0,0.996875
post_selector,28,1.0,0.0,1.0
post_selector,22,1.0,0.0,1.0
response_first,27,1.0,0.0,0.984375
response_first,25,1.0,0.0,0.9833333333333334
response_mean,23,1.0,0.0,0.9916666666666668
response_mean,24,1.0,0.0,0.9875
response_mean,25,1.0,0.0,0.9875
response_first,32,1.0,0.0,0.9927083333333334
response_first,31,1.0,0.0,0.9927083333333334
response_mean,20,1.0,0.0,0.9916666666666668
response_mean,21,1.0,0.0,0.9958333333333333
response_first,29,1.0,0.0,0.9958333333333333
response_first,30,1.0,0.0,0.9927083333333334
response_first,28,1.0,0.0,0.9885416666666668
response_first,35,1.0,0.0,0.984375
response_first,33,1.0,0.0,0.9958333333333333
response_first,34,1.0,0.0,0.9875
response_first,26,1.0,0.0,0.9802083333333333
response_mean,19,1.0,0.0,0.9916666666666668
response_mean,22,1.0,0.0,0.9958333333333333
final_prompt,35,0.9998046875,0.00043673202685543856,0.984375
final_prompt,20,0.9996527777777778,0.0007764124921873978,0.9875
response_first,23,0.9996527777777778,0.0007764124921874004,0.9958333333333333
final_prompt,34,0.9994574652777779,0.0007899424793055814,0.984375
response_mean,18,0.9993055555555556,0.0015528249843748967,0.9729166666666667
response_first,24,0.9993055555555556,0.0015528249843748964,0.9833333333333334
response_mean,26,0.9993055555555556,0.0015528249843748422,0.9875
response_mean,27,0.9989583333333332,0.0023292374765622945,0.984375
post_selector,14,0.9986111111111111,0.003105649968749739,0.984375
response_first,22,0.9979166666666666,0.00310564996874971,0.9833333333333334
final_prompt,19,0.9979166666666666,0.004658474953124589,0.9916666666666666
response_mean,28,0.9975694444444445,0.005434887445311996,0.9760416666666668
response_mean,34,0.9975694444444445,0.005434887445311996,0.975
post_selector,15,0.9975694444444445,0.005434887445311996,0.9802083333333333
post_selector,13,0.9975694444444445,0.004527223892501812,0.9583333333333333
response_mean,31,0.9972222222222221,0.006211299937499393,0.9677083333333334
response_mean,29,0.996875,0.006987712429686846,0.96875
response_mean,30,0.996875,0.006987712429686846,0.9760416666666668
response_mean,32,0.9965277777777779,0.007764124921874236,0.975
response_first,21,0.9965277777777779,0.006835076279524131,0.9760416666666668
public_task_span,22,0.9961805555555555,0.008540537414061742,0.9625
final_prompt,18,0.9954861111111111,0.007527598398846816,0.953125
response_mean,33,0.9954861111111111,0.010093362398436584,0.9791666666666667
response_mean,35,0.9954861111111111,0.010093362398436584,0.9635416666666666
response_first,19,0.9950086805555556,0.006323264880353069,0.9697916666666668
public_task_span,23,0.9944444444444445,0.012422599874998896,0.9708333333333332
public_task_span,21,0.9934027777777779,0.014751837351561081,0.975
public_task_span,24,0.9934027777777779,0.014751837351561136,0.946875
response_first,20,0.9927083333333332,0.015352563173218193,0.975
public_task_span,25,0.992013888888889,0.01785748732031084,0.9385416666666668
public_task_span,26,0.9902777777777778,0.02078263507172975,0.9291666666666666
post_selector,12,0.9889756944444444,0.015096432007454912,0.9510416666666666
public_task_span,27,0.9878472222222221,0.02621470290024561,0.93125
public_task_span,20,0.986111111111111,0.02823516660987946,0.9583333333333334
public_task_span,28,0.9857638888888889,0.03087155101443786,0.9208333333333332
public_task_span,19,0.98125,0.03907985725480018,0.9458333333333334
response_first,18,0.9789930555555555,0.018621764415696622,0.909375
public_task_span,29,0.9775390625,0.041981531719361004,0.8833333333333334
public_task_span,30,0.969900173611111,0.04782409571681042,0.8583333333333334
public_task_span,31,0.9693359375,0.04453622560091624,0.8510416666666666
public_task_span,32,0.9674262152777778,0.0406228031386805,0.8520833333333334
public_task_span,33,0.9672526041666666,0.034989779963257424,0.8427083333333332
public_task_span,18,0.9671875,0.04827044569770348,0.903125
public_task_span,34,0.9524305555555556,0.0426426493546248,0.803125
public_task_span,17,0.948415798611111,0.053710148352788596,0.8552083333333333
post_selector,11,0.9413194444444445,0.051243224484370194,0.834375
public_task_span,35,0.9397569444444445,0.06139798119569901,0.7739583333333333
public_task_span,16,0.9361111111111111,0.05192975040979359,0.8072916666666666
public_task_span,15,0.9312065972222221,0.06932532372358473,0.7729166666666667
final_prompt,17,0.9229383680555555,0.07293153641474878,0.7979166666666666
response_first,17,0.922048611111111,0.06795383732033564,0.7927083333333333
response_mean,17,0.910959201388889,0.05247360382226768,0.8114583333333332
response_mean,16,0.9001085069444444,0.046606202085411795,0.7927083333333333
public_task_span,14,0.8912977430555555,0.052233241476561415,0.7208333333333334
response_first,16,0.8605902777777776,0.08874483091145693,0.7572916666666666
response_mean,15,0.8425130208333333,0.025644807726811835,0.7364583333333333
final_prompt,16,0.8315538194444445,0.08269345488216216,0.7302083333333333
post_selector,10,0.7706380208333333,0.11895015077000225,0.6416666666666667
response_first,15,0.7532986111111111,0.05349786317052046,0.6364583333333333
response_mean,14,0.7301432291666667,0.11057858540865947,0.58125
post_selector,9,0.663259548611111,0.09436198355865,0.5958333333333334
post_selector,8,0.6546875,0.04704508750642998,0.659375
response_first,14,0.6462890625,0.07474421143340243,0.559375
post_selector,3,0.6440755208333333,0.08087081605276156,0.584375
final_prompt,15,0.6418836805555556,0.08355575830241099,0.6125
response_mean,13,0.6147135416666667,0.06703087959713054,0.5447916666666667
post_selector,7,0.6116536458333333,0.02760878123826603,0.5958333333333333
post_selector,4,0.6030598958333333,0.11438465297193282,0.6354166666666667
public_task_span,13,0.6010416666666666,0.028957167575789297,0.55625
post_selector,2,0.5883463541666667,0.06688959853428471,0.565625
post_selector,1,0.5856553819444444,0.0932590391770136,0.5354166666666667
response_first,12,0.5853732638888889,0.06705616796073943,0.528125
post_selector,5,0.5797526041666667,0.10334994539202702,0.571875
post_selector,6,0.5643663194444445,0.10655664810117339,0.571875
response_first,13,0.5638237847222223,0.059222947139092534,0.534375
post_selector,0,0.5569444444444445,0.10416232629846266,0.540625
final_prompt,14,0.5465277777777777,0.07400803624615601,0.5447916666666667
response_mean,3,0.5435329861111111,0.01654124219954627,0.5447916666666666
public_task_span,12,0.5372395833333333,0.017996196496725774,0.5010416666666666
response_first,11,0.5356119791666666,0.04225258187453039,0.521875
response_mean,12,0.5322265625,0.04083510045432515,0.5239583333333334
final_prompt,5,0.5317708333333333,0.01934809960521531,0.5145833333333334
final_prompt,7,0.5307942708333333,0.03065973113134146,0.53125
final_prompt,4,0.5292100694444445,0.026686355951441074,0.5
response_first,3,0.5278428819444445,0.02065904974176889,0.5135416666666667
final_prompt,3,0.5276909722222223,0.027091817803858005,0.490625
response_mean,2,0.5259982638888889,0.02410730312921323,0.5072916666666667
final_prompt,8,0.5249131944444445,0.02407895986857871,0.5114583333333333
public_task_span,2,0.5224826388888888,0.03567011286326752,0.4989583333333333
response_first,8,0.5220269097222222,0.02898679298890921,0.5052083333333333
final_prompt,6,0.5210069444444445,0.02665934144181195,0.50625
public_task_span,0,0.5207899305555556,0.028375095016445688,0.5041666666666667
public_task_span,1,0.5189019097222223,0.0283184832050751,0.5208333333333334
final_prompt,0,0.5187934027777777,0.012900558508947812,0.51875
response_first,10,0.5178819444444445,0.03192745623158465,0.5145833333333333
response_mean,9,0.5174913194444445,0.024923362532524796,0.4989583333333333
response_mean,6,0.5157335069444444,0.016887041425881967,0.503125
response_mean,10,0.5147569444444444,0.02493299759782131,0.5270833333333333
public_task_span,7,0.5139105902777777,0.014874636000845457,0.5010416666666666
response_mean,7,0.5126519097222222,0.01669237485312153,0.540625
response_first,2,0.5116536458333334,0.031303040502809555,0.4927083333333333
response_mean,8,0.5102213541666666,0.02916399423779021,0.5239583333333333
response_first,7,0.5094835069444444,0.02834541179701529,0.4989583333333334
response_first,4,0.5091796875,0.03630458160549448,0.4979166666666667
response_mean,11,0.5091362847222222,0.031529100925279996,0.5135416666666667
response_mean,4,0.509006076388889,0.017530169173903386,0.509375
response_first,9,0.5089192708333333,0.02820850842111273,0.5052083333333333
response_mean,1,0.5051432291666667,0.017662917597055267,0.4979166666666667
public_task_span,11,0.5043836805555555,0.030329350558970052,0.521875
response_mean,5,0.5041449652777779,0.012515606968176864,0.515625
response_first,6,0.5037977430555556,0.03101420037708756,0.49375
response_first,1,0.5018229166666667,0.017928026854461418,0.5104166666666667
public_task_span,6,0.5015625,0.008689231775168183,0.5020833333333333
final_prompt,1,0.5002604166666667,0.011709100965840201,0.5052083333333333
pre_selector,30,0.5,0.0,0.5
pre_selector,31,0.5,0.0,0.5
pre_selector,19,0.5,0.0,0.5
pre_selector,3,0.5,0.0,0.5
pre_selector,2,0.5,0.0,0.5
pre_selector,5,0.5,0.0,0.5
pre_selector,4,0.5,0.0,0.5
pre_selector,1,0.5,0.0,0.5
pre_selector,0,0.5,0.0,0.5
pre_selector,15,0.5,0.0,0.5
pre_selector,14,0.5,0.0,0.5
pre_selector,7,0.5,0.0,0.5
pre_selector,6,0.5,0.0,0.5
pre_selector,13,0.5,0.0,0.5
pre_selector,12,0.5,0.0,0.5
pre_selector,11,0.5,0.0,0.5
pre_selector,10,0.5,0.0,0.5
pre_selector,9,0.5,0.0,0.5
pre_selector,8,0.5,0.0,0.5
pre_selector,34,0.5,0.0,0.5
pre_selector,33,0.5,0.0,0.5
pre_selector,22,0.5,0.0,0.5
pre_selector,23,0.5,0.0,0.5
pre_selector,27,0.5,0.0,0.5
pre_selector,26,0.5,0.0,0.5
pre_selector,18,0.5,0.0,0.5
pre_selector,32,0.5,0.0,0.5
pre_selector,24,0.5,0.0,0.5
pre_selector,25,0.5,0.0,0.5
pre_selector,29,0.5,0.0,0.5
pre_selector,28,0.5,0.0,0.5
pre_selector,20,0.5,0.0,0.5
pre_selector,21,0.5,0.0,0.5
pre_selector,35,0.5,0.0,0.5
pre_selector,17,0.5,0.0,0.5
pre_selector,16,0.5,0.0,0.5
final_prompt,10,0.4989366319444445,0.029368362177799704,0.5010416666666667
response_first,5,0.49845920138888894,0.04163220711367943,0.4791666666666667
final_prompt,9,0.49837239583333337,0.03782848395912892,0.5
response_first,0,0.4945963541666667,0.010591634027738838,0.5135416666666667
public_task_span,3,0.49190538194444444,0.0070067261904568825,0.5197916666666667
public_task_span,10,0.48904079861111105,0.039110244018884306,0.50625
